
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad          516      0.06%     96.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore          512      0.06%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig        30537      3.76%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total         812614                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.891229                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              615504                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.757437                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  1597950                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  543366                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          469049                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                       413                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                      218                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses              154                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                  1068276                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                  368098                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses          338959                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      701288                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                          239                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                      726485                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      3099                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                              89                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           10168                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads          82349                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         63309                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        16771                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        17415                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
